Year,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),1.30E+13,1.28E+13,1.25E+13,1.23E+13,1.20E+13,1.18E+13,1.15E+13,1.13E+13,1.11E+13,1.08E+13,1.06E+13,1.04E+13,1.02E+13,1.00E+13,9.83E+12,9.64E+12,9.46E+12,9.28E+12,9.12E+12,8.95E+12,8.79E+12,8.64E+12,8.50E+12,8.35E+12,8.22E+12,8.09E+12,7.97E+12,7.85E+12,7.74E+12,7.63E+12,7.53E+12,7.43E+12,7.344E+12,7.26011E+12,7.1819E+12,7.10939E+12,7.04256E+12,6.98142E+12,6.92596E+12,6.8762E+12,6.83212E+12,6.79373E+12
coal (BTU),7.15E+13,7.00E+13,6.86E+13,6.72E+13,6.58E+13,6.45E+13,6.32E+13,6.19E+13,6.07E+13,5.95E+13,5.83E+13,5.71E+13,5.60E+13,5.49E+13,5.39E+13,5.29E+13,5.19E+13,5.09E+13,5.00E+13,4.91E+13,4.82E+13,4.74E+13,4.66E+13,4.58E+13,4.51E+13,4.44E+13,4.37E+13,4.30E+13,4.24E+13,4.18E+13,4.13E+13,4.08E+13,4.02796E+13,3.98195E+13,3.93906E+13,3.89928E+13,3.86263E+13,3.8291E+13,3.79868E+13,3.77139E+13,3.74721E+13,3.72615E+13
natural gas (BTU),7.47E+11,7.32E+11,7.17E+11,7.02E+11,6.88E+11,6.74E+11,6.61E+11,6.47E+11,6.34E+11,6.22E+11,6.09E+11,5.97E+11,5.86E+11,5.74E+11,5.63E+11,5.53E+11,5.42E+11,5.32E+11,5.23E+11,5.13E+11,5.04E+11,4.96E+11,4.87E+11,4.79E+11,4.71E+11,4.64E+11,4.57E+11,4.50E+11,4.44E+11,4.37E+11,4.32E+11,4.26E+11,4.21097E+11,4.16287E+11,4.11803E+11,4.07645E+11,4.03813E+11,4.00307E+11,3.97128E+11,3.94274E+11,3.91747E+11,3.89545E+11
petroleum diesel (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0
heat (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0
biomass (BTU),9.44E+13,9.24E+13,9.06E+13,8.87E+13,8.69E+13,8.51E+13,8.34E+13,8.17E+13,8.01E+13,7.85E+13,7.70E+13,7.54E+13,7.40E+13,7.25E+13,7.12E+13,6.98E+13,6.85E+13,6.72E+13,6.60E+13,6.48E+13,6.37E+13,6.26E+13,6.15E+13,6.05E+13,5.95E+13,5.86E+13,5.77E+13,5.68E+13,5.60E+13,5.52E+13,5.45E+13,5.38E+13,5.31786E+13,5.25711E+13,5.20048E+13,5.14797E+13,5.09958E+13,5.05531E+13,5.01515E+13,4.97912E+13,4.9472E+13,4.9194E+13
kerosene (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0
heavy or residual fuel oil (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0
LPG propane or butane (BTU),1.20E+13,1.18E+13,1.16E+13,1.13E+13,1.11E+13,1.09E+13,1.07E+13,1.04E+13,1.02E+13,1.00E+13,9.83E+12,9.63E+12,9.44E+12,9.26E+12,9.08E+12,8.91E+12,8.75E+12,8.58E+12,8.43E+12,8.28E+12,8.13E+12,7.99E+12,7.85E+12,7.72E+12,7.60E+12,7.48E+12,7.37E+12,7.26E+12,7.15E+12,7.05E+12,6.96E+12,6.87E+12,6.78929E+12,6.71174E+12,6.63944E+12,6.5724E+12,6.51062E+12,6.4541E+12,6.40283E+12,6.35683E+12,6.31608E+12,6.28059E+12
hydrogen (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0
