Unit:BTU,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
appliances and electrical equipment 27,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
cement and other nonmetallic minerals 239,9.53603E+11,1.10731E+12,4.31488E+11,8.85614E+11,7.89566E+11,7.61495E+11,9.3522E+11,9.71E+11,9.80E+11,9.86E+11,9.17E+11,1.01E+12,1.05E+12,1.07E+12,1.09E+12,1.10E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.10E+12,1.10E+12,1.09E+12,1.08E+12,1.08E+12,1.07E+12,1.07E+12,1.06E+12,1.05E+12,1.05E+12,1.04E+12,1.04E+12,1.03E+12,1.03E+12,1.02E+12,1.02E+12,1.01E+12,1.01E+12,1.01E+12,1.00E+12,9.98E+11,9.95E+11,9.92E+11,9.90E+11,9.87E+11,9.85E+11,9.83E+11,9.81E+11,9.80E+11
chemicals 20,4.9877E+11,5.79165E+11,2.25685E+11,4.6321E+11,4.12973E+11,3.98291E+11,4.89155E+11,5.08E+11,5.13E+11,5.16E+11,5.00E+11,6.07E+11,6.39E+11,6.62E+11,6.82E+11,6.99E+11,7.13E+11,7.25E+11,7.35E+11,7.44E+11,7.51E+11,7.57E+11,7.63E+11,7.68E+11,7.72E+11,7.76E+11,7.79E+11,7.82E+11,7.85E+11,7.88E+11,7.91E+11,7.94E+11,7.96E+11,7.99E+11,8.02E+11,8.04E+11,8.07E+11,8.10E+11,8.13E+11,8.16E+11,8.19E+11,8.22E+11,8.25E+11,8.28E+11,8.31E+11,8.35E+11,8.38E+11,8.42E+11,8.45E+11,8.49E+11,8.53E+11
coal mining 05,3.38703E+12,3.93298E+12,1.53257E+12,3.14555E+12,2.8044E+12,2.7047E+12,3.32174E+12,3.45E+12,3.48E+12,3.50E+12,3.50E+12,4.07E+12,4.30E+12,4.50E+12,4.68E+12,4.85E+12,4.99E+12,5.12E+12,5.23E+12,5.34E+12,5.43E+12,5.52E+12,5.59E+12,5.67E+12,5.73E+12,5.80E+12,5.85E+12,5.91E+12,5.97E+12,6.02E+12,6.07E+12,6.12E+12,6.17E+12,6.22E+12,6.26E+12,6.31E+12,6.36E+12,6.40E+12,6.45E+12,6.50E+12,6.54E+12,6.59E+12,6.64E+12,6.68E+12,6.73E+12,6.78E+12,6.82E+12,6.87E+12,6.92E+12,6.97E+12,7.01E+12
computers and electronics 26,16808705.5,19518036.21,7605635.892,15610301.08,13917313.36,13422519.79,16484681.16,1.71E+07,1.73E+07,1.74E+07,1.85E+07,1.75E+07,1.81E+07,1.84E+07,1.87E+07,1.88E+07,1.89E+07,1.90E+07,1.89E+07,1.89E+07,1.88E+07,1.87E+07,1.86E+07,1.85E+07,1.83E+07,1.82E+07,1.81E+07,1.79E+07,1.78E+07,1.77E+07,1.75E+07,1.74E+07,1.73E+07,1.72E+07,1.71E+07,1.69E+07,1.68E+07,1.67E+07,1.67E+07,1.66E+07,1.65E+07,1.64E+07,1.63E+07,1.62E+07,1.62E+07,1.61E+07,1.60E+07,1.60E+07,1.59E+07,1.59E+07,1.58E+07
construction 41T43,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
energy pipelines and gas processing 352T353,5.51931E+12,6.40894E+12,2.49739E+12,5.1258E+12,4.56989E+12,4.40742E+12,5.41291E+12,5.62E+12,5.67E+12,5.71E+12,5.28E+12,6.62E+12,7.60E+12,8.51E+12,9.38E+12,1.02E+13,1.10E+13,1.18E+13,1.25E+13,1.32E+13,1.38E+13,1.45E+13,1.51E+13,1.56E+13,1.62E+13,1.67E+13,1.72E+13,1.77E+13,1.82E+13,1.87E+13,1.91E+13,1.96E+13,2.00E+13,2.04E+13,2.08E+13,2.12E+13,2.16E+13,2.20E+13,2.24E+13,2.28E+13,2.31E+13,2.35E+13,2.39E+13,2.42E+13,2.46E+13,2.50E+13,2.53E+13,2.57E+13,2.60E+13,2.64E+13,2.67E+13
food beverage and tobacco 10T12,2.73214E+11,3.17253E+11,1.23625E+11,2.53735E+11,2.26217E+11,2.18174E+11,2.67948E+11,2.78E+11,2.81E+11,2.83E+11,2.61E+11,2.94E+11,3.12E+11,3.29E+11,3.47E+11,3.66E+11,3.84E+11,4.02E+11,4.21E+11,4.39E+11,4.58E+11,4.77E+11,4.96E+11,5.15E+11,5.34E+11,5.53E+11,5.73E+11,5.92E+11,6.11E+11,6.30E+11,6.50E+11,6.69E+11,6.88E+11,7.07E+11,7.27E+11,7.46E+11,7.65E+11,7.85E+11,8.04E+11,8.23E+11,8.43E+11,8.62E+11,8.82E+11,9.01E+11,9.21E+11,9.40E+11,9.60E+11,9.80E+11,1.00E+12,1.02E+12,1.04E+12
iron and steel 241,2.86303E+11,3.32451E+11,1.29547E+11,2.6589E+11,2.37054E+11,2.28626E+11,2.80784E+11,2.92E+11,2.94E+11,2.96E+11,3.02E+11,3.60E+11,3.99E+11,4.34E+11,4.69E+11,5.02E+11,5.34E+11,5.65E+11,5.96E+11,6.25E+11,6.55E+11,6.83E+11,7.12E+11,7.40E+11,7.67E+11,7.95E+11,8.23E+11,8.51E+11,8.79E+11,9.07E+11,9.35E+11,9.63E+11,9.92E+11,1.02E+12,1.05E+12,1.08E+12,1.11E+12,1.14E+12,1.17E+12,1.21E+12,1.24E+12,1.27E+12,1.31E+12,1.34E+12,1.38E+12,1.41E+12,1.45E+12,1.49E+12,1.52E+12,1.56E+12,1.60E+12
