Unit:BTU,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 ,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
appliances and electrical equipment 27,7.97357E+11,8.56555E+11,1.09864E+12,1.26847E+12,1.31537E+12,1.34863E+12,1.68823E+12,2.27795E+12,2.51818E+12,3.34807E+12,3.87E+12,4.26E+12,4.38E+12,4.43E+12,4.46E+12,4.47E+12,4.46E+12,4.44E+12,4.41E+12,4.37E+12,4.32E+12,4.28E+12,4.22E+12,4.17E+12,4.12E+12,4.06E+12,4.01E+12,3.95E+12,3.90E+12,3.85E+12,3.80E+12,3.75E+12,3.70E+12,3.65E+12,3.61E+12,3.57E+12,3.52E+12,3.48E+12,3.44E+12,3.41E+12,3.37E+12,3.34E+12,3.30E+12,3.27E+12,3.24E+12,3.21E+12,3.18E+12,3.15E+12,3.12E+12,3.10E+12,3.07E+12
cement and other nonmetallic minerals 239,3.2283E+13,3.01502E+13,3.83723E+13,5.10043E+13,5.39371E+13,5.87306E+13,7.17597E+13,9.44391E+13,1.08072E+14,1.4479E+14,1.35E+14,1.49E+14,1.54E+14,1.57E+14,1.60E+14,1.61E+14,1.63E+14,1.63E+14,1.63E+14,1.63E+14,1.63E+14,1.62E+14,1.62E+14,1.61E+14,1.60E+14,1.59E+14,1.58E+14,1.57E+14,1.56E+14,1.56E+14,1.55E+14,1.54E+14,1.53E+14,1.52E+14,1.51E+14,1.51E+14,1.50E+14,1.49E+14,1.49E+14,1.48E+14,1.48E+14,1.47E+14,1.47E+14,1.46E+14,1.46E+14,1.45E+14,1.45E+14,1.45E+14,1.44E+14,1.44E+14,1.44E+14
chemicals 20,1.24015E+13,1.18405E+13,1.50892E+13,1.96134E+13,2.0681E+13,2.23258E+13,2.7372E+13,3.61525E+13,4.11666E+13,5.5094E+13,5.34E+13,6.49E+13,6.83E+13,7.07E+13,7.28E+13,7.46E+13,7.61E+13,7.74E+13,7.85E+13,7.94E+13,8.02E+13,8.09E+13,8.15E+13,8.20E+13,8.24E+13,8.29E+13,8.32E+13,8.36E+13,8.39E+13,8.42E+13,8.45E+13,8.48E+13,8.51E+13,8.54E+13,8.56E+13,8.59E+13,8.62E+13,8.65E+13,8.68E+13,8.72E+13,8.75E+13,8.78E+13,8.81E+13,8.85E+13,8.88E+13,8.92E+13,8.95E+13,8.99E+13,9.03E+13,9.07E+13,9.11E+13
coal mining 05,1.80576E+11,48967125884,53232621557,2.75969E+11,3.19698E+11,4.37581E+11,4.91427E+11,5.86665E+11,7.6613E+11,1.05389E+12,1.05E+12,1.22E+12,1.29E+12,1.35E+12,1.41E+12,1.46E+12,1.50E+12,1.54E+12,1.57E+12,1.61E+12,1.63E+12,1.66E+12,1.68E+12,1.70E+12,1.72E+12,1.74E+12,1.76E+12,1.78E+12,1.80E+12,1.81E+12,1.83E+12,1.84E+12,1.86E+12,1.87E+12,1.88E+12,1.90E+12,1.91E+12,1.93E+12,1.94E+12,1.95E+12,1.97E+12,1.98E+12,2.00E+12,2.01E+12,2.02E+12,2.04E+12,2.05E+12,2.07E+12,2.08E+12,2.10E+12,2.11E+12
computers and electronics 26,2.1451E+12,2.31894E+12,2.9753E+12,3.41366E+12,3.53648E+12,3.61487E+12,4.5308E+12,6.12115E+12,6.75485E+12,8.97743E+12,9.54E+12,9.05E+12,9.35E+12,9.53E+12,9.65E+12,9.73E+12,9.77E+12,9.79E+12,9.78E+12,9.76E+12,9.72E+12,9.67E+12,9.61E+12,9.54E+12,9.48E+12,9.41E+12,9.34E+12,9.27E+12,9.20E+12,9.13E+12,9.06E+12,8.99E+12,8.93E+12,8.87E+12,8.81E+12,8.75E+12,8.70E+12,8.65E+12,8.60E+12,8.55E+12,8.51E+12,8.47E+12,8.43E+12,8.39E+12,8.35E+12,8.32E+12,8.29E+12,8.26E+12,8.23E+12,8.21E+12,8.18E+12
construction 41T43,1.48401E+11,1.68638E+11,1.68638E+11,2.36093E+11,2.63075E+11,2.36093E+11,3.10294E+11,3.37276E+11,3.03548E+11,3.71004E+11,3.71E+10,3.97E+09,4.19E+08,4.42E+07,4.66E+06,4.89E+05,5.13E+04,5.36E+03,5.60E+02,5.84E+01,6.08E+00,6.32E-01,6.56E-02,6.81E-03,7.05E-04,7.29E-05,7.54E-06,7.78E-07,8.02E-08,8.26E-09,8.50E-10,8.75E-11,8.99E-12,9.23E-13,9.47E-14,9.71E-15,9.95E-16,1.02E-16,1.04E-17,1.07E-18,1.09E-19,1.11E-20,1.14E-21,1.16E-22,1.19E-23,1.21E-24,1.24E-25,1.26E-26,1.28E-27,1.31E-28,1.33E-29
energy pipelines and gas processing 352T353,3.57163E+11,2.39865E+11,2.98163E+11,5.56986E+11,6.10826E+11,7.35162E+11,8.64407E+11,1.09057E+12,1.3222E+12,1.79293E+12,1.66E+12,2.08E+12,2.39E+12,2.67E+12,2.95E+12,3.21E+12,3.46E+12,3.70E+12,3.93E+12,4.14E+12,4.35E+12,4.55E+12,4.74E+12,4.92E+12,5.09E+12,5.25E+12,5.41E+12,5.57E+12,5.72E+12,5.86E+12,6.01E+12,6.14E+12,6.28E+12,6.41E+12,6.54E+12,6.67E+12,6.79E+12,6.91E+12,7.03E+12,7.15E+12,7.27E+12,7.39E+12,7.50E+12,7.62E+12,7.73E+12,7.84E+12,7.95E+12,8.06E+12,8.17E+12,8.28E+12,8.39E+12
food beverage and tobacco 10T12,3.18086E+12,3.43357E+12,4.40507E+12,5.06155E+12,5.24485E+12,5.36495E+12,6.72233E+12,9.07924E+12,1.00233E+13,1.33226E+13,1.23E+13,1.39E+13,1.47E+13,1.55E+13,1.64E+13,1.72E+13,1.81E+13,1.90E+13,1.98E+13,2.07E+13,2.16E+13,2.25E+13,2.34E+13,2.43E+13,2.52E+13,2.61E+13,2.70E+13,2.79E+13,2.88E+13,2.97E+13,3.06E+13,3.15E+13,3.25E+13,3.34E+13,3.43E+13,3.52E+13,3.61E+13,3.70E+13,3.79E+13,3.88E+13,3.97E+13,4.07E+13,4.16E+13,4.25E+13,4.34E+13,4.43E+13,4.53E+13,4.62E+13,4.72E+13,4.81E+13,4.91E+13
iron and steel 241,6.16412E+12,3.19925E+12,3.87749E+12,9.53948E+12,1.06834E+13,1.35449E+13,1.56259E+13,1.92806E+13,2.40893E+13,3.28608E+13,3.35E+13,4.00E+13,4.43E+13,4.82E+13,5.20E+13,5.57E+13,5.93E+13,6.27E+13,6.61E+13,6.94E+13,7.27E+13,7.58E+13,7.90E+13,8.21E+13,8.52E+13,8.83E+13,9.13E+13,9.44E+13,9.75E+13,1.01E+14,1.04E+14,1.07E+14,1.10E+14,1.13E+14,1.17E+14,1.20E+14,1.23E+14,1.27E+14,1.30E+14,1.34E+14,1.38E+14,1.41E+14,1.45E+14,1.49E+14,1.53E+14,1.57E+14,1.61E+14,1.65E+14,1.69E+14,1.73E+14,1.78E+14
