Pollutant:,CO2,Unit: grams of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.072E+11,6.754E+11,7.093E+11,7.043E+11,6.989E+11,6.937E+11,6.882E+11,6.823E+11,6.761E+11,6.700E+11,6.638E+11,6.572E+11,6.504E+11,6.438E+11,6.369E+11,6.298E+11,6.226E+11,6.155E+11,6.082E+11,6.008E+11,5.933E+11,5.858E+11,5.782E+11,5.705E+11,5.628E+11,5.550E+11,5.473E+11,5.394E+11,5.315E+11,5.236E+11,5.155E+11,5.075E+11
coal mining 05,1.713E+13,1.503E+13,2.182E+13,3.497E+13,1.910E+13,6.556E+12,1.251E+13,1.295E+13,1.312E+13,1.319E+13,1.318E+13,1.304E+13,1.286E+13,1.265E+13,1.241E+13,1.216E+13,1.188E+13,1.160E+13,1.132E+13,1.104E+13,1.076E+13,1.050E+13,1.024E+13,9.996E+12,9.756E+12,9.524E+12,9.300E+12,9.083E+12,8.874E+12,8.672E+12,8.477E+12,8.289E+12,8.107E+12,7.930E+12,7.760E+12,7.595E+12
oil and gas extraction 06,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
other mining and quarrying 07T08,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
food beverage and tobacco 10T12,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
textiles apparel and leather 13T15,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
wood products 16,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
pulp paper and printing 17T18,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
refined petroleum and coke 19,2.832E+12,3.634E+12,3.341E+12,3.776E+12,4.086E+12,5.045E+12,4.524E+12,4.949E+12,5.257E+12,5.516E+12,5.732E+12,5.973E+12,6.181E+12,6.360E+12,6.515E+12,6.648E+12,6.738E+12,6.813E+12,6.875E+12,6.927E+12,6.970E+12,7.052E+12,7.127E+12,7.196E+12,7.260E+12,7.319E+12,7.365E+12,7.407E+12,7.447E+12,7.484E+12,7.520E+12,7.593E+12,7.663E+12,7.733E+12,7.798E+12,7.862E+12
chemicals 20,1.749E+13,1.826E+13,1.912E+13,1.839E+13,1.885E+13,1.971E+13,2.095E+13,2.229E+13,2.341E+13,2.445E+13,2.543E+13,2.635E+13,2.722E+13,2.805E+13,2.885E+13,2.961E+13,3.035E+13,3.107E+13,3.178E+13,3.247E+13,3.315E+13,3.382E+13,3.448E+13,3.514E+13,3.580E+13,3.645E+13,3.710E+13,3.775E+13,3.840E+13,3.905E+13,3.970E+13,4.035E+13,4.100E+13,4.165E+13,4.230E+13,4.296E+13
rubber and plastic products 22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
glass and glass products 231,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
cement and other nonmetallic minerals 239,8.027E+13,7.557E+13,6.722E+13,5.272E+13,5.832E+13,5.683E+13,5.310E+13,5.195E+13,5.029E+13,4.856E+13,4.681E+13,4.506E+13,4.335E+13,4.168E+13,4.007E+13,3.852E+13,3.703E+13,3.562E+13,3.427E+13,3.298E+13,3.176E+13,3.060E+13,2.950E+13,2.845E+13,2.745E+13,2.650E+13,2.559E+13,2.473E+13,2.390E+13,2.311E+13,2.235E+13,2.162E+13,2.093E+13,2.026E+13,1.961E+13,1.899E+13
iron and steel 241,2.968E+13,3.355E+13,3.264E+13,3.202E+13,3.357E+13,3.395E+13,3.479E+13,3.643E+13,3.758E+13,3.851E+13,3.925E+13,3.982E+13,4.026E+13,4.058E+13,4.080E+13,4.093E+13,4.099E+13,4.099E+13,4.095E+13,4.086E+13,4.074E+13,4.059E+13,4.041E+13,4.021E+13,4.000E+13,3.977E+13,3.952E+13,3.927E+13,3.900E+13,3.873E+13,3.845E+13,3.816E+13,3.787E+13,3.757E+13,3.726E+13,3.695E+13
other metals 242,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
metal products except machinery and vehicles 25,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
computers and electronics 26,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
