Policy:,coal mining - methane capture,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-1150,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-900,-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-850,-800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-800,-750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-750,-700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-700,-650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-650,-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-600,-550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-550,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-500,-450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-450,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-400,-350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-350,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-300,-250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-250,-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-150,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-80,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-30,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,0,2.20955E+11,1.90143E+11,2.08918E+11,2.3879E+11,1.57471E+11,81126662660,1.11926E+11,1.1373E+11,1.14307E+11,1.14446E+11,1.14243E+11,1.10941E+11,1.07451E+11,1.03835E+11,1.00143E+11,96412635884,94863316995,93294832360,91722169583,90156092792,88604825288,2.34498E+11,3.78196E+11,5.19778E+11,6.59335E+11,7.96968E+11,7.85215E+11,7.73733E+11,7.62518E+11,7.51564E+11,7.40863E+11,8.63759E+11,9.85349E+11,1.10567E+12,1.22487E+12,1.34298E+12
0,0,1.57546E+12,1.20921E+12,1.13612E+12,1.03094E+12,4.60533E+11,93050410707,1.28376E+11,1.30445E+11,1.31107E+11,1.31267E+11,1.31034E+11,1.30469E+11,1.29669E+11,1.28692E+11,1.27585E+11,1.26388E+11,2.09165E+11,2.90692E+11,3.70941E+11,4.49918E+11,5.27653E+11,4.40899E+11,3.55463E+11,2.7132E+11,1.88432E+11,1.06753E+11,1.65865E+11,2.24197E+11,2.81789E+11,3.38684E+11,3.94923E+11,3.27204E+11,2.60329E+11,1.94244E+11,1.28922E+11,64312543503
0.1,10,4.14165E+12,3.93657E+12,4.81443E+12,6.18297E+12,4.63478E+12,2.75427E+12,3.67867E+12,3.61407E+12,3.50717E+12,3.38531E+12,3.25267E+12,3.1131E+12,2.96847E+12,2.82072E+12,2.67139E+12,2.52165E+12,2.40757E+12,2.29406E+12,2.18155E+12,2.07031E+12,1.96056E+12,1.86248E+12,1.76592E+12,1.6709E+12,1.57743E+12,1.48547E+12,1.4306E+12,1.37668E+12,1.32368E+12,1.27157E+12,1.2203E+12,1.16565E+12,1.11182E+12,1.05873E+12,1.00641E+12,9.548E+11
10,20,6.87416E+11,8.16196E+11,1.19181E+12,1.77243E+12,1.50501E+12,9.96398E+11,1.4116E+12,1.4721E+12,1.51772E+12,1.55799E+12,1.59381E+12,1.6202E+12,1.64354E+12,1.66437E+12,1.6832E+12,1.70044E+12,1.59487E+12,1.4901E+12,1.38642E+12,1.28404E+12,1.18309E+12,1.13762E+12,1.09286E+12,1.04883E+12,1.00553E+12,9.62975E+11,8.70783E+11,7.79968E+11,6.90472E+11,6.02232E+11,5.15185E+11,4.79523E+11,4.44352E+11,4.09632E+11,3.75369E+11,3.41524E+11
20,30,3.64225E+11,3.51442E+11,4.36058E+11,5.67813E+11,4.31324E+11,2.5961E+11,3.84976E+11,4.18577E+11,4.48397E+11,4.76833E+11,5.03991E+11,5.07144E+11,5.09363E+11,5.10844E+11,5.11759E+11,5.12247E+11,5.36954E+11,5.61083E+11,5.84695E+11,6.07845E+11,6.30584E+11,6.27711E+11,6.24893E+11,6.22154E+11,6.19512E+11,6.16979E+11,6.03507E+11,5.90305E+11,5.77365E+11,5.6468E+11,5.52241E+11,5.07636E+11,4.63631E+11,4.20181E+11,3.77285E+11,3.34899E+11
30,40,2.13638E+11,2.12248E+11,2.70505E+11,3.61047E+11,2.80596E+11,1.72505E+11,2.3544E+11,2.36623E+11,2.35185E+11,2.32812E+11,2.2973E+11,2.36994E+11,2.43796E+11,2.50202E+11,2.56274E+11,2.62066E+11,2.50599E+11,2.39184E+11,2.27867E+11,2.16678E+11,2.05637E+11,2.05387E+11,2.05146E+11,2.0492E+11,2.04716E+11,2.04539E+11,2.20401E+11,2.36079E+11,2.51585E+11,2.6693E+11,2.82125E+11,2.9209E+11,3.01982E+11,3.11797E+11,3.21561E+11,3.31267E+11
