Policy:,coal mining - methane destruction,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-1150,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-900,-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-850,-800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-800,-750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-750,-700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-700,-650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-650,-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-600,-550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-550,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-500,-450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-450,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-400,-350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-350,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-300,-250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-250,-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-150,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-80,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-30,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,10,2.21978E+13,2.08026E+13,2.50897E+13,3.1782E+13,2.35032E+13,1.37816E+13,1.88061E+13,1.88971E+13,1.87786E+13,1.85856E+13,1.83358E+13,1.80559E+13,1.77444E+13,1.74101E+13,1.70603E+13,1.67008E+13,1.64441E+13,1.61838E+13,1.59227E+13,1.56625E+13,1.54048E+13,1.5161E+13,1.49212E+13,1.46859E+13,1.44553E+13,1.42297E+13,1.40083E+13,1.3792E+13,1.35805E+13,1.33739E+13,1.31719E+13,1.28983E+13,1.26299E+13,1.2366E+13,1.21073E+13,1.18531E+13
10,20,3.15174E+12,2.9536E+12,3.56222E+12,4.51231E+12,3.33686E+12,1.9566E+12,2.93499E+12,3.22306E+12,3.48282E+12,3.73216E+12,3.97165E+12,4.07253E+12,4.16559E+12,4.25205E+12,4.33306E+12,4.40959E+12,4.35196E+12,4.29326E+12,4.23417E+12,4.17518E+12,4.11667E+12,4.05177E+12,3.98792E+12,3.92527E+12,3.86389E+12,3.80382E+12,3.74462E+12,3.68675E+12,3.63019E+12,3.57492E+12,3.52089E+12,3.54053E+12,3.56048E+12,3.58061E+12,3.60117E+12,3.62204E+12
20,30,18850980028,19307529451,25265926899,34512554518,27376585134,17139856183,23742196301,24222314863,24443778768,24572718765,24628780502,35850228230,46958452714,57917012329,68704106213,79308455191,77924116418,76525599873,75125294585,73732066388,72352654962,74080361493,75783481659,77465798097,79130490845,80780353477,80134607032,79508986106,78903487399,78317863145,77751686972,77224880674,76716092722,76221941097,75747176142,75288267200
30,40,7278615818,7618683714,10150583044,14076409060,11310596200,7160396088,9665813555,9603959251,9432690124,9222596597,8983787341,9511519799,10019714486,10509923803,10983908542,11443386401,11173948478,10903471975,10633782755,10366167252,10101582227,10199341914,10295829306,10391498619,10486705711,10581743531,10066723153,9560138684,9061683526,8571023077,8087808192,8165880203,8244291770,8322762993,8401892918,8481380863
40,50,2.88269E+11,2.70042E+11,3.25563E+11,4.12236E+11,3.04732E+11,1.78614E+11,1.98463E+11,1.52646E+11,1.03872E+11,54099917069,3903526393,3898965130,3887341979,3870305181,3849256904,3825326029,4030303133,4230669342,4426873054,4619313886,4808378146,4880434373,4951500633,5021806283,5091536388,5160847667,5281333603,5400926026,5519739770,5637872544,5755407316,5590104484,5427594337,5267558178,5110247916,4955338908
50,60,1468215019,1624154100,2258213258,3239732865,2676213835,1733645541,50988943915,1.01477E+11,1.522E+11,2.02946E+11,2.53352E+11,2.02844E+11,1.52184E+11,1.01688E+11,51583752559,2027044181,1994470258,1961493381,1928428659,1895502407,1862887514,1767801860,1674185000,1582062433,1491430295,1402266065,1513463012,1623360026,1732044119,1839596913,1946094414,2108338534,2269007338,2428111106,2585907249,2742395305
60,70,2481150740,2118721950,2306328947,2606084681,1693991089,856544206,1195185825,1228208085,1248351122,1263876280,1275699908,49916751674,98258599592,1.46099E+11,1.93307E+11,2.39802E+11,2.36162E+11,2.32471E+11,2.28767E+11,2.25076E+11,2.21419E+11,2.18059E+11,2.14754E+11,2.11512E+11,2.08336E+11,2.05229E+11,1.63369E+11,1.22103E+11,81401385352,41235146685,1575975266,1479625485,1384630479,1290875337,1198388701,1107056078
