Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-1150,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11792160204,23442539468,34957273588,46333894684,57580388076
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12340868072,24525077897,36560857267,48447335390,60198736684,47870653614,35687153605,23651696075,11755870981,0
-1000,-950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,29746.26575,57963.0688,85802.76192,109092.9287,129894.6359,108921.9099,80988.56127,53525.5299,26550.62263,0,2807417496,5569570436,8290551445,10971505969,13609316243,10805421157,8046438937,5326115593,2643880062,0,12924332723,25673941789,38255853035,50670796806,62929276492,50022728628,37278920811,24699421884,12273589148,0,99573803.29,197950398.7,295181597.2,391246560,486212715.6
-900,-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106411049.4,211471288.7,315251663.4,417744665,519072945.6,773325428.7,1024489553,1272782755,1518057060,1760559398
-850,-800,0,0,0,0,0,0,269637308,534634709.8,795017997.8,1051621429,1304155705,1034778116,769827111.4,509298505.3,252747282.3,0,13718036946,27240979631,40570663237,53704663749,66662561468,53085048917,39685693246,26468692925,13425242712,553073912.4,806128729.1,1055961541,1302830479,1546616145,1787728461,1939514004,2089366441,2237657980,2384030482,2528844203
-800,-750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372505578.8,739975266.2,1102611561,1460435513,1813749852,1970007360,2124249617,2276874028,2427536577,2576805136,2049101906,1527587550,1012410148,503209708.2,0
-750,-700,0,0,0,0,0,0,0,0,0,0,0,388015726.2,769775396.9,1145844658,1516381821,1880955979,1871236834,1862352027,1853487732,1844498262,1835959873,1997729348,2157163225,2314668352,2470032496,2623628537,2085532611,1554221595,1029760895,511706800.6,0,5251255.145,10439372.76,15567085.22,20633293.53,25641553.7
-700,-650,0,0,0,0,0,0,400579754.4,794266351.1,1181098108,1562314417,1937485490,1537291582,1143673913,756626268.4,375487520.7,0,553278270,1098687964,1636303099,2166025909,2688646111,2136454180,1591509638,1053979328,523507857,0,5758720.863,11444339,17060693.81,22607378.95,28091032.08,22338277.19,16652990.28,11036785.65,5485738.854,0
-650,-600,0,417775211.5,814069689.7,1205067799,1532169508,1824321730,1529767613,1137454146,751746110.4,372893595.3,0,0,0,0,0,0,6816502.628,13536062.78,20159592.34,26685886.84,33124675.73,37086626.56,40992334.09,44849705.87,48654971.72,52415707.05,46065263.41,39794518.53,33607712.53,27495670.34,21462278.36,21375608.78,21288682.99,21204976.24,21120588.44,21038551.92
-600,-550,2145620266,1631999828,1192532692,784580793.4,374079813.8,0,4259208539,8445124816,12558156251,16611480818,20600528741,16945907790,13351527699,9818197748,6339133443,2910928210,2311196588,1721071483,1139215215,565505637.4,0,0,0,0,0,0,0,0,0,0,0,262712813.5,522266946.2,778799095,1032254279,1282810400
-550,-500,0,0,0,0,0,0,0,0,0,0,0,20527660948,40724350294,60619993060,80222964675,99510468232,79008838717,58835605341,38945039366,19332965156,1340196.405,371226804.2,736112817.8,1096199545,1451507727,1802338140,1745398690,1689150566,1633847190,1579161682,1525413739,2516125150,3494832646,4462301928,5418047172,6362958954
-500,-450,0,0,0,0,0,0,709692478.4,1407172602,2092508256,2767895228,3432572076,3165623420,2903198222,2645929899,2392827521,2142943655,2137967313,2133854817,2129679802,2125275212,2121306268,3178557093,4221343232,5250607896,6266155047,7269122828,7172599032,7077173575,6983957305,6891622468,6801611894,7693414672,8574083585,9445198295,10305330438,11156063497
-450,-400,0,0,0,0,0,0,24431445883,48442476585,72035429123,95285894302,1.18168E+11,93759746145,69752919399,46146799798,22901065122,0,2607872380,5178656295,7712700623,10209544545,12672910382,12983762863,13289386922,13592152846,13890550137,14186497791,13858384268,13534188131,13215984155,12901190943,12592463277,10013656114,7465093056,4947497749,2459110968,0
-400,-350,10932156202,11574564745,12427205727,13399099402,13859504586,14232813892,13809681408,12591596601,11392961706,10221528756,9068291133,10237555838,11388547848,12525673172,13647078749,14748179898,13986912994,13241930721,12506760387,11780380743,11066332276,8793538038,6550573689,4338125947,2154732031,0,0,0,0,0,0,0,0,0,0,0
-350,-300,5202504661,38044798251,69314207312,1.00228E+11,1.25922E+11,1.48852E+11,1.25082E+11,93331389906,62114759842,31453799051,1275068010,1685925981,2090241101,2488992162,2882019162,3268403768,2605410447,1953055631,1309838755,675620838.5,50480988.39,49911107.8,49344844.4,48790657.02,48242426.58,47706327.76,4617956686,9130190244,13587461748,17989439957,22341402864,22179053645,22017304960,21859736872,21702304638,21548115960
-300,-250,1.81723E+11,1.38222E+11,1.01001E+11,66450031890,31682671519,0,1493844937,2961983861,4404559665,5826194302,7225284999,5732878961,4264997086,2821616190,1400270797,0,4915857586,9761803158,14538494352,19245062523,23888524271,23749248499,23609921542,23474617161,23340447075,23210439218,18490930588,13830927269,9231035146,4687325950,199322074,198559710,197794455,197058606,196315933.8,195594628.8
-250,-200,42105617395,32801571150,24912847986,17632751271,10184063855,3385251766,3512317820,3446387370,3381186454,3319263404,3258231701,8337692742,13335464859,18259923478,23112303838,27885784252,22140542387,16487327958,10913326406,5417367609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,-150,13624686710,14413186460,15464321467,16664234241,17228536991,17685307416,31737384483,44550820453,57138963854,69556550964,81776749578,68687108215,55813740488,43161925950,30705311097,18428798397,14948053985,11523632032,8147106105,4817647052,1536068493,1524477255,1512918355,1501652312,1490493254,1479633740,1465410416,1451341804,1437657633,1424087257,1410930616,1395983656,1381131059,1366596477,1352125452,1337911069
-150,-100,74209659388,78289246038,83810391473,90144613066,93049758275,95387204304,80002557659,59506142744,39354819203,19561714459,79930745.15,430387763.6,775199401.8,1114900364,1449613101,1778919449,2047745678,2313407085,2575171185,2832851067,3087388552,3077792032,3068075288,3058769386,3049501516,3040669843,3032180605,3023746026,3015852030,3007940968,3000653131,2989639150,2978576082,2967950378,2957216533,2946799247
-100,-90,0,0,0,0,0,0,4593305.566,9107569.745,13543231.91,17914503.74,22216456.99,17627575.79,13114101.98,8675964.304,4305581.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,-80,0,4021896.999,7837000.264,11601115.7,14750104.31,17562636.29,14726981.41,10950203.11,7237014.89,3589824.363,0,0,0,0,0,0,9042615.567,17956629.47,26743251.41,35400883.55,43942432.76,43702639.11,43462529.58,43229606.69,42998558.41,42774967.92,42529011.8,42285430.82,42050976.44,41817812.8,41594801.4,41311609.92,41029307.25,40754568.6,40479859.56,40210978.91
