Policy:,livestock measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-1150,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-900,-850,0,0,0,0,0,0,0,0,0,0,0,1188191898,2357226339,3508835457,4643504044,5759912558,4573211461,3405518974,2254188200,1118977449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-850,-800,0,0,0,0,0,0,1150431531,2281066490,3392014922,4486836259,5564296183,4414972769,3284535767,2172967322,1078368736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-800,-750,0,1142633292,2226515849,3295912609,4190549945,4989598921,4183980659,3110986340,2056058161,1019880129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-750,-700,5328283576,4052794437,2961452433,1948373168,928963693.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-700,-650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-650,-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-600,-550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-550,-500,1.97532E+11,1.88706E+11,1.84729E+11,1.83166E+11,1.75486E+11,1.67942E+11,1.75875E+11,1.74205E+11,1.72543E+11,1.71021E+11,1.69519E+11,1.67231E+11,1.6499E+11,1.62844E+11,1.60749E+11,1.58645E+11,1.2596E+11,93798040491,62086994008,30819940479,0,0,0,0,0,0,0,0,0,0,0,1167761600,2321482827,3461771299,4588382626,5702107583
-500,-450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172392343,2329902027,3473310699,4602535633,5718928160,4547750403,3390308152,2246930055,1116817151,0
-450,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169651381,2323490281,3462152537,4585704247,5695095965,4527054113,3373740226,2235296284,1110759124,0,0,0,0,0,0
-400,-350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161177521,2305841085,3434146033,4545887182,5642721926,4483824329,3340136991,2212010067,1098697687,0,0,0,0,0,0,0,0,0,0,0
-350,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-300,-250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-250,-200,0,0,0,0,0,0,1105130827,2191244615,3258447075,4310157479,5345190113,5382515085,5419579895,5458031299,5496511060,5533040743,4393081507,3271382168,2165400087,1074903091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,-150,0,1097657626,2138877029,3166180816,4025603957,4793201233,4019293248,2988533507,1975128797,979736201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-150,-100,5118541795,3893260825,2844878249,1871677690,892396101.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17197672114,34162849426,50904880818,67424738118,83736397587,83221091886,82710865117,82218911388,81729893601,81261120049,80657997158,80057210281,79471774413,78886980478,78314123400
-100,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17643840029,35036754073,52181102504,69073767605,85739933134,68130736053,50752655540,33611012155,16694472534,0,0,0,0,0,0,0,0,0,0,0
-90,-80,1.60348E+11,1.21963E+11,89120948603,58633683619,27955919437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-80,-70,0,33016750550,64335880010,95236437777,1.21087E+11,1.44176E+11,1.52889E+11,1.53325E+11,1.53735E+11,1.54239E+11,1.54731E+11,1.22771E+11,91336008383,60425635651,29987158875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,-60,0,0,0,0,0,0,0,0,0,0,0,47225116096,93688812155,1.3946E+11,1.84558E+11,2.2893E+11,1.81764E+11,1.35354E+11,89593524140,44474162832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,-50,3.90175E+11,3.1156E+11,2.4567E+11,1.85324E+11,1.22252E+11,64566338226,69027756415,69773116484,70497517516,71255868740,72000465944,57128536309,42500991656,28117600956,13953795570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-40,0,59347404095,1.15643E+11,1.71187E+11,2.17654E+11,2.59156E+11,2.70096E+11,2.66242E+11,2.62422E+11,2.58837E+11,2.55301E+11,2.5177E+11,2.48311E+11,2.44997E+11,2.4176E+11,2.38512E+11,1.89372E+11,1.41019E+11,93343597051,46335696407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40,-30,0,0,0,0,0,0,0,0,0,0,0,29461705795,58448394588,87003015363,1.15138E+11,1.42819E+11,1.13395E+11,84441240739,55893521660,27745505129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-30,-20,51512704441,68861497096,86464531948,1.04448E+11,1.17831E+11,1.29605E+11,1.37855E+11,1.38658E+11,1.39431E+11,1.40282E+11,1.41116E+11,1.11968E+11,83299278925,55108734960,27348564443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-10,90492926736,68830651534,50295839964,33090203976,15777058840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,0,34198435438,33345803064,33297996535,33659527579,32858762644,32024984979,26854246177,19967394652,13196497909,6545946142,0,0,0,0,0,0,11685963644,23205732631,34560870295,45749311694,56787736670,56895966204,56998134969,57104165914,57207217851,57314845805,57358616799,57400831122,57450784051,57497949863,57554632519,57520246575,57482792555,57451692939,57416447559,57385322230
0,0,0,0,0,0,0,0,7383549196,14640042623,21770186560,28796825684,35712038056,35961525347,36209272620,36466282284,36723479790,36967646778,29351290358,21856932937,14467586499,7181699838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,10,3.59482E+11,3.38138E+11,3.25892E+11,3.18105E+11,2.99994E+11,2.82571E+11,2.91911E+11,2.85162E+11,2.78496E+11,2.72121E+11,2.6584E+11,2.59103E+11,2.5249E+11,2.46073E+11,2.3978E+11,2.33522E+11,2.42819E+11,2.52071E+11,2.61177E+11,2.70118E+11,2.7898E+11,2.73426E+11,2.67925E+11,2.62522E+11,2.57183E+11,2.5194E+11,2.46857E+11,2.41833E+11,2.36907E+11,2.32033E+11,2.27258E+11,2.06894E+11,1.86762E+11,1.66887E+11,1.47233E+11,1.27819E+11
10,20,5.19829E+11,4.93119E+11,4.79348E+11,4.71975E+11,4.49037E+11,4.26747E+11,4.44799E+11,4.38487E+11,4.32231E+11,4.26361E+11,4.20572E+11,3.81874E+11,3.43826E+11,3.06499E+11,2.69767E+11,2.33522E+11,2.34936E+11,2.36417E+11,2.37863E+11,2.39256E+11,2.40671E+11,2.35045E+11,2.29475E+11,2.24E+11,2.18592E+11,2.13276E+11,2.08163E+11,2.03111E+11,1.98151E+11,1.93245E+11,1.88432E+11,1.9175E+11,1.95016E+11,1.98264E+11,2.01458E+11,2.04627E+11
