Policy:,waste - methane capture,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-1150,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-900,-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-850,-800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-800,-750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-750,-700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-700,-650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-650,-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-600,-550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-550,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-500,-450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-450,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-400,-350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-350,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-300,-250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-250,-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24985924724,50152790884,75489953883,1.00989E+11,1.2664E+11
-150,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18640875180,37720183036,57168149381,76929214665,96959508216,99393852397,1.01791E+11,1.04158E+11,1.06498E+11,1.08818E+11,1.35951E+11,1.63304E+11,1.90858E+11,2.18602E+11,2.46522E+11,2.25334E+11,2.03948E+11,1.82376E+11,1.6063E+11,1.38719E+11
-100,-90,13820925057,12245217792,9147075139,5412702711,3591424460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22351065242,45007334516,67933484563,91100450815,1.14486E+11,92046640771,69358853574,46443677822,23319006108,0,0,0,0,0,0
-90,-80,97262777515,86173963670,64371229168,38091118890,25274134459,0,0,0,0,0,0,15396642644,31546453940,48305157326,65556847034,83208098783,86773053732,90271037494,93712238914,97105434901,1.00459E+11,80969684106,61141878788,41016335803,20626463002,0,0,0,0,0,0,0,0,0,0,0
-80,-70,50597295221,50907238410,45594904472,35936542871,41672233020,42233505011,40007587845,43044787907,45519441230,47738673764,49740207663,56639179397,63579697363,70574683940,77606911881,84663153580,68639112454,52084730337,35083930667,17704215084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,-60,85626191269,1.02739E+11,1.10203E+11,1.04809E+11,1.48364E+11,1.86726E+11,1.71758E+11,1.79361E+11,1.84008E+11,1.87123E+11,1.88953E+11,1.72495E+11,1.54107E+11,1.34238E+11,1.13145E+11,91035836481,73805649251,56005201715,37724734317,19036829615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,-50,0,42184421869,84030426263,1.1188E+11,1.97958E+11,2.93099E+11,2.80535E+11,3.04891E+11,3.25606E+11,3.44776E+11,3.62615E+11,3.65501E+11,3.66371E+11,3.65763E+11,3.63909E+11,3.60999E+11,3.72885E+11,3.84395E+11,3.95589E+11,4.06514E+11,4.17214E+11,4.03255E+11,3.88804E+11,3.73926E+11,3.58671E+11,3.43088E+11,3.24081E+11,3.04782E+11,2.85218E+11,2.65412E+11,2.45384E+11,2.47023E+11,2.48629E+11,2.50205E+11,2.51755E+11,2.53281E+11
-50,-40,0,0,0,0,0,0,13834179588,29552448845,46538876197,64610853565,83551153430,1.17017E+11,1.51624E+11,1.87187E+11,2.23512E+11,2.60447E+11,2.89924E+11,3.19623E+11,3.49506E+11,3.79547E+11,4.09727E+11,4.21549E+11,4.33235E+11,4.44809E+11,4.56289E+11,4.67697E+11,4.75355E+11,4.82929E+11,4.90432E+11,4.97874E+11,5.05265E+11,4.8398E+11,4.6245E+11,4.4069E+11,4.18718E+11,3.96543E+11
-40,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22264512628,44833047410,67670417874,90747672003,1.14042E+11,1.40883E+11,1.67937E+11,1.9519E+11,2.22628E+11,2.5024E+11,2.83255E+11,3.16465E+11,3.49857E+11,3.83426E+11,4.17161E+11
-30,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3206376514,6435972756,9687422732,12959613871,16251413485
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2935233981,5891724148,8868220020,11863703109,14877136511
0.1,10,6753869645,6714162589,5924628572,4581876611,5182049329,5074106490,6254481827,8264367706,10339385089,12497322631,14719978634,15940626931,17133408161,18309839975,19471004776,20617969802,55854715293,91882856612,1.28576E+11,1.65835E+11,2.0358E+11,2.07493E+11,2.11313E+11,2.15053E+11,2.18726E+11,2.22343E+11,3.37844E+11,4.54356E+11,5.71799E+11,6.9011E+11,8.09231E+11,8.04616E+11,7.9982E+11,7.94857E+11,7.89746E+11,7.8449E+11
10,20,1.84047E+11,2.16684E+11,2.28618E+11,2.14288E+11,2.99448E+11,3.72556E+11,3.67109E+11,4.10022E+11,4.49273E+11,4.87384E+11,5.24466E+11,5.62573E+11,5.99424E+11,6.35479E+11,6.70818E+11,7.05512E+11,6.84506E+11,6.61727E+11,6.37453E+11,6.11912E+11,5.85292E+11,5.88186E+11,5.90696E+11,5.92878E+11,5.94773E+11,5.96428E+11,4.8513E+11,3.72588E+11,2.5891E+11,1.44185E+11,28490210656,29379472795,30270019208,31161829834,32055198631,32949926714
20,30,0,369724923.6,736483790.7,980567825,1734997818,2568862187,2694519009,3175858555,3646911009,4122911591,4602055709,6370371488,8197808724,10074974086,11991766975,13940106832,11301688161,8575946849,5776701208,2915065636,0,0,0,0,0,0,0,0,0,0,0,26285677507,52761708914,79416895899,1.06242E+11,1.33228E+11
30,40,1556839848,1379346384,1030360197,609706747.5,404551264.6,0,733736996.1,1567402310,2468328173,3426829420,4431384741,26313812059,49240312736,73012744964,97469470225,1.2248E+11,1.24071E+11,1.25477E+11,1.26727E+11,1.27845E+11,1.28851E+11,1.2962E+11,1.30306E+11,1.30922E+11,1.31476E+11,1.31979E+11,1.32309E+11,1.32598E+11,1.32851E+11,1.33072E+11,1.33265E+11,1.07016E+11,80552455089,53887783157,27033694154,0
