Unit: dimensionless,Pot Perc Red in Fuel Use
agriculture and forestry 01T03,0
coal mining 05,0
oil and gas extraction 06,0
other mining and quarrying 07T08,0
food beverage and tobacco 10T12,0.218
textiles apparel and leather 13T15,0.218
wood products 16,0.218
pulp paper and printing 17T18,0.218
refined petroleum and coke 19,0.218
chemicals 20,0.218
rubber and plastic products 22,0.218
glass and glass products 231,0.218
cement and other nonmetallic minerals 239,0.218
iron and steel 241,0.218
other metals 242,0.218
metal products except machinery and vehicles 25,0.218
computers and electronics 26,0.218
appliances and electrical equipment 27,0.218
other machinery 28,0.218
road vehicles 29,0.218
nonroad vehicles 30,0.218
other manufacturing 31T33,0.218
energy pipelines and gas processing 352T353,0
water and waste 36T39,0
construction 41T43,0
