Unit: 2012 USD,GDP
2019,9.84367E+11
2020,1.04112E+12
2021,1.09672E+12
2022,1.15337E+12
2023,1.20944E+12
2024,1.26587E+12
2025,1.32283E+12
2026,1.37827E+12
2027,1.43319E+12
2028,1.48871E+12
2029,1.54359E+12
2030,1.59789E+12
2031,1.65146E+12
2032,1.70482E+12
2033,1.75783E+12
2034,1.80945E+12
2035,1.8603E+12
2036,1.91115E+12
2037,1.96065E+12
2038,2.01011E+12
2039,2.0584E+12
2040,2.10575E+12
2041,2.15276E+12
2042,2.1987E+12
2043,2.244E+12
2044,2.28835E+12
2045,2.33242E+12
2046,2.37587E+12
2047,2.41808E+12
2048,2.45974E+12
2049,2.50095E+12
2050,2.5414E+12
2051,2.58157E+12
2052,2.6208E+12
2053,2.65941E+12
2054,2.69789E+12
2055,2.73549E+12
2056,2.77323E+12
2057,2.81052E+12
2058,2.84743E+12
2059,2.88442E+12
2060,2.92113E+12
