Unit: dimensionless (% change),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
ISIC 01T03,0.043322 ,0.097507 ,0.029141 ,0.027044 ,0.025686 ,0.024533 ,0.022400 ,0.020966 ,0.020204 ,0.018904 ,0.017735 ,0.016591 ,0.015753 ,0.014909 ,0.013710 ,0.012838 ,0.012305 ,0.011312 ,0.010847 ,0.010013 ,0.009305 ,0.008837 ,0.008155 ,0.007645 ,0.007064 ,0.006712 ,0.006276 ,0.005681 ,0.005308 ,0.004980 ,0.004576 ,0.004323 ,0.003902 ,0.003579 ,0.003398 ,0.003027 ,0.002933 ,0.002690 ,0.002471 ,0.002373 ,0.002191 
ISIC 05,-0.379636 ,0.733003 ,0.036182 ,0.020876 ,0.014921 ,0.010085 ,0.006170 ,0.003012 ,0.000477 ,-0.001548 ,-0.003154 ,-0.004417 ,-0.005400 ,-0.006155 ,-0.006723 ,-0.007140 ,-0.007434 ,-0.007629 ,-0.007744 ,-0.007796 ,-0.007797 ,-0.007758 ,-0.007688 ,-0.007593 ,-0.007480 ,-0.007353 ,-0.007216 ,-0.007072 ,-0.006923 ,-0.006772 ,-0.006619 ,-0.006467 ,-0.006316 ,-0.006167 ,-0.006020 ,-0.005877 ,-0.005736 ,-0.005599 ,-0.005466 ,-0.005336 ,-0.005210 
ISIC 06,-0.178651 ,0.097323 ,0.019962 ,0.005142 ,-0.000484 ,-0.005017 ,-0.008652 ,-0.011549 ,-0.013840 ,-0.015634 ,-0.017022 ,-0.018077 ,-0.018862 ,-0.019427 ,-0.019812 ,-0.020053 ,-0.020178 ,-0.020209 ,-0.020166 ,-0.020063 ,-0.019915 ,-0.019730 ,-0.019518 ,-0.019285 ,-0.019037 ,-0.018778 ,-0.018512 ,-0.018243 ,-0.017971 ,-0.017700 ,-0.017431 ,-0.017164 ,-0.016900 ,-0.016641 ,-0.016387 ,-0.016138 ,-0.015894 ,-0.015656 ,-0.015423 ,-0.015196 ,-0.014974 
ISIC 07T08,0.007478 ,0.096456 ,0.019962 ,0.005142 ,-0.000484 ,-0.005017 ,-0.008652 ,-0.011549 ,-0.013840 ,-0.015634 ,-0.017022 ,-0.018077 ,-0.018862 ,-0.019427 ,-0.019812 ,-0.020053 ,-0.020178 ,-0.020209 ,-0.020166 ,-0.020063 ,-0.019915 ,-0.019730 ,-0.019518 ,-0.019285 ,-0.019037 ,-0.018778 ,-0.018512 ,-0.018243 ,-0.017971 ,-0.017700 ,-0.017431 ,-0.017164 ,-0.016900 ,-0.016641 ,-0.016387 ,-0.016138 ,-0.015894 ,-0.015656 ,-0.015423 ,-0.015196 ,-0.014974 
ISIC 09,-0.064104 ,0.096927 ,0.019962 ,0.005142 ,-0.000484 ,-0.005017 ,-0.008652 ,-0.011549 ,-0.013840 ,-0.015634 ,-0.017022 ,-0.018077 ,-0.018862 ,-0.019427 ,-0.019812 ,-0.020053 ,-0.020178 ,-0.020209 ,-0.020166 ,-0.020063 ,-0.019915 ,-0.019730 ,-0.019518 ,-0.019285 ,-0.019037 ,-0.018778 ,-0.018512 ,-0.018243 ,-0.017971 ,-0.017700 ,-0.017431 ,-0.017164 ,-0.016900 ,-0.016641 ,-0.016387 ,-0.016138 ,-0.015894 ,-0.015656 ,-0.015423 ,-0.015196 ,-0.014974 
ISIC 10T12,-0.033387 ,0.095864 ,0.019962 ,0.005142 ,-0.000484 ,-0.005017 ,-0.008652 ,-0.011549 ,-0.013840 ,-0.015634 ,-0.017022 ,-0.018077 ,-0.018862 ,-0.019427 ,-0.019812 ,-0.020053 ,-0.020178 ,-0.020209 ,-0.020166 ,-0.020063 ,-0.019915 ,-0.019730 ,-0.019518 ,-0.019285 ,-0.019037 ,-0.018778 ,-0.018512 ,-0.018243 ,-0.017971 ,-0.017700 ,-0.017431 ,-0.017164 ,-0.016900 ,-0.016641 ,-0.016387 ,-0.016138 ,-0.015894 ,-0.015656 ,-0.015423 ,-0.015196 ,-0.014974 
ISIC 13T15,-0.227313 ,0.095783 ,0.019962 ,0.005142 ,-0.000484 ,-0.005017 ,-0.008652 ,-0.011549 ,-0.013840 ,-0.015634 ,-0.017022 ,-0.018077 ,-0.018862 ,-0.019427 ,-0.019812 ,-0.020053 ,-0.020178 ,-0.020209 ,-0.020166 ,-0.020063 ,-0.019915 ,-0.019730 ,-0.019518 ,-0.019285 ,-0.019037 ,-0.018778 ,-0.018512 ,-0.018243 ,-0.017971 ,-0.017700 ,-0.017431 ,-0.017164 ,-0.016900 ,-0.016641 ,-0.016387 ,-0.016138 ,-0.015894 ,-0.015656 ,-0.015423 ,-0.015196 ,-0.014974 
ISIC 16,0.145861 ,0.094388 ,0.019962 ,0.005142 ,-0.000484 ,-0.005017 ,-0.008652 ,-0.011549 ,-0.013840 ,-0.015634 ,-0.017022 ,-0.018077 ,-0.018862 ,-0.019427 ,-0.019812 ,-0.020053 ,-0.020178 ,-0.020209 ,-0.020166 ,-0.020063 ,-0.019915 ,-0.019730 ,-0.019518 ,-0.019285 ,-0.019037 ,-0.018778 ,-0.018512 ,-0.018243 ,-0.017971 ,-0.017700 ,-0.017431 ,-0.017164 ,-0.016900 ,-0.016641 ,-0.016387 ,-0.016138 ,-0.015894 ,-0.015656 ,-0.015423 ,-0.015196 ,-0.014974 
ISIC 17T18,-0.018168 ,0.095408 ,0.019962 ,0.005142 ,-0.000484 ,-0.005017 ,-0.008652 ,-0.011549 ,-0.013840 ,-0.015634 ,-0.017022 ,-0.018077 ,-0.018862 ,-0.019427 ,-0.019812 ,-0.020053 ,-0.020178 ,-0.020209 ,-0.020166 ,-0.020063 ,-0.019915 ,-0.019730 ,-0.019518 ,-0.019285 ,-0.019037 ,-0.018778 ,-0.018512 ,-0.018243 ,-0.017971 ,-0.017700 ,-0.017431 ,-0.017164 ,-0.016900 ,-0.016641 ,-0.016387 ,-0.016138 ,-0.015894 ,-0.015656 ,-0.015423 ,-0.015196 ,-0.014974 
ISIC 19,0.002099 ,0.301010 ,0.115238 ,0.091013 ,0.078186 ,0.067581 ,0.058762 ,0.051389 ,0.045193 ,0.039963 ,0.035529 ,0.031753 ,0.028524 ,0.025750 ,0.023358 ,0.021285 ,0.019482 ,0.017907 ,0.016525 ,0.015307 ,0.014228 ,0.013270 ,0.012414 ,0.011648 ,0.010957 ,0.010334 ,0.009768 ,0.009253 ,0.008783 ,0.008352 ,0.007955 ,0.007590 ,0.007251 ,0.006937 ,0.006646 ,0.006374 ,0.006119 ,0.005881 ,0.005658 ,0.005448 ,0.005250 
