,ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
ISIC 01T03,1.124261309,0.034852899,0.028897148,0.021763644,0.023403944,0.448362806,0.245196478,0.09228972,0.085657154,0.010326199,0.079934583,0.079934583,0.079934583,0.025174642,0.035303897,0.02394664,0.02394664,0.0437136,0.032063051,0.026103775,0.024730824,0.019648397,0.019648397,0.024955345,0.01734074,0.013502322,0.011796308,0.029654123,0.012966338,0.013900248,0.169813286,0.033810694,0.098945385,0.141192779,0.038248394,0.024194901,0.090637481,0.041477079,0.011885279,0.051265783,0.047560511,4.15E-02
ISIC 05,0.008021883,1.130883691,0.018566452,0.02195155,0.019971995,0.027191967,0.020021864,0.035294948,0.031992079,0.035519407,0.032292471,0.032292471,0.032292471,0.061693516,0.029454268,0.03726159,0.03726159,0.057739252,0.023226492,0.036055575,0.04900676,0.016204441,0.016204441,0.022352402,0.212264929,0.236063237,0.009389517,0.032300813,0.003649714,0.013181558,0.013561085,0.010666382,0.009638112,0.008569737,0.007343046,0.005237112,0.014061505,0.006539036,0.004034779,0.020455457,0.01007708,0.013626599
ISIC 06,0.003376521,0.00710711,1.028960345,0.006520745,0.007489479,0.004733317,0.007373021,0.008227519,0.010195989,0.111305391,0.020677298,0.020677298,0.020677298,0.014046712,0.00773909,0.00990881,0.00990881,0.009301547,0.006932966,0.007899503,0.006522166,0.003679337,0.003679337,0.004593563,0.003973577,0.01306572,0.00201556,0.008276427,0.001672531,0.009546218,0.002694573,0.003234963,0.004183249,0.003078193,0.002514892,0.001530176,0.004895108,0.002076022,0.001527403,0.012528337,0.002878504,0.005077113
ISIC 07T08,0.003332932,0.010537978,0.007423367,1.1973227,0.122112109,0.004266001,0.005511444,0.021199206,0.020043974,0.003595994,0.009732023,0.009732023,0.009732023,0.037925923,0.044427525,0.188011572,0.188011572,0.057152975,0.028155302,0.059136139,0.074832741,0.015234987,0.015234987,0.017232589,0.008133688,0.003352446,0.002042694,0.046090114,0.002114017,0.003570245,0.003182806,0.00897193,0.004422941,0.003339722,0.003471073,0.001971582,0.008778318,0.002813614,0.00156922,0.006343898,0.005217339,0.010258977
ISIC 09,0.000389347,0.000939835,0.000766351,0.022022161,1.083320075,0.000559595,0.000744498,0.003220226,0.001953708,0.00031188,0.001942077,0.001942077,0.001942077,0.013564965,0.002357902,0.006575037,0.006575037,0.002574801,0.002179283,0.00334612,0.004920619,0.001306886,0.001306886,0.000804399,0.000642939,0.000287668,0.000287431,0.012032558,0.000167902,0.00030574,0.000334537,0.00072006,0.00036146,0.000366499,0.000327584,0.000181143,0.000681397,0.000246099,0.000157411,0.001196591,0.000481895,0.000852751
ISIC 10T12,0.142061945,0.048819549,0.045103074,0.031689152,0.031292543,2.004314836,0.087165471,0.085738397,0.083344025,0.016321133,0.130465817,0.130465817,0.130465817,0.040237278,0.045516502,0.060179726,0.060179726,0.052257551,0.050086307,0.043907493,0.042189968,0.026632351,0.026632351,0.024268985,0.024445581,0.021765394,0.01786749,0.043847285,0.019822194,0.022821711,0.501996187,0.062609104,0.087762838,0.072333288,0.070611648,0.035367584,0.050023529,0.030329952,0.015507049,0.080634986,0.13281535,0.064893633
ISIC 13T15,0.021085204,0.077969863,0.04765208,0.055299301,0.087168046,0.03456552,2.733105902,0.152701024,0.214128306,0.016824349,0.081082243,0.081082243,0.081082243,0.058240185,0.152141131,0.031449959,0.031449959,0.240846914,0.051321025,0.049976431,0.049227697,0.049053464,0.049053464,0.179152453,0.029123927,0.02544502,0.013709476,0.059392551,0.013492122,0.023073918,0.034205607,0.03382642,0.069438186,0.037075489,0.048832834,0.031263398,0.04493412,0.02037727,0.015491345,0.051738779,0.053908565,0.064142616
ISIC 16,0.007338045,0.015345083,0.007945912,0.013458304,0.016502633,0.01529103,0.014824668,1.880575056,0.180211163,0.004541712,0.019262638,0.019262638,0.019262638,0.026550544,0.028726962,0.008836043,0.008836043,0.020925024,0.017098028,0.031226019,0.01263003,0.017202893,0.017202893,0.009179299,0.008213906,0.006535683,0.004412693,0.070822278,0.005354732,0.009291164,0.025013094,0.015900184,0.019411277,0.024166972,0.027600484,0.012290986,0.014362951,0.023178623,0.012672173,0.01409017,0.038250025,0.094387271
ISIC 17T18,0.028516656,0.064523096,0.031186039,0.053378283,0.071089996,0.08064347,0.077792756,0.093815235,1.616241074,0.018565716,0.069226084,0.069226084,0.069226084,0.054521867,0.1230943,0.036765749,0.036765749,0.055966126,0.061854174,0.078759369,0.049148189,0.097550212,0.097550212,0.045181024,0.033437066,0.031631486,0.018581915,0.051228526,0.027133491,0.050951148,0.054357836,0.068145374,0.091382339,0.088833427,0.188287211,0.086608471,0.068442696,0.043947462,0.049353825,0.04689815,0.303547851,0.0738197
ISIC 19,0.047314605,0.105023865,0.114690012,0.097972782,0.11118026,0.045887797,0.097488379,0.115210062,0.136584077,2.093185199,0.290310362,0.290310362,0.290310362,0.161674372,0.090279883,0.147922823,0.147922823,0.094008639,0.096421754,0.113986195,0.085254427,0.05145418,0.05145418,0.06281202,0.047867182,0.034507952,0.03023022,0.111224729,0.027820983,0.169271067,0.033743387,0.047308499,0.067808756,0.046498635,0.037555265,0.023326439,0.070762426,0.031489247,0.024510328,0.175779164,0.039443779,0.075695475
