,ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
ISIC 01T03,1.14606806,0.046137429,0.04065946,0.034393766,0.036037933,0.529491766,0.294163278,0.115859265,0.109211764,0.025979888,0.102522852,0.102522852,0.102522852,0.036401759,0.050380908,0.040157596,0.040157596,0.060825302,0.04722916,0.039413558,0.037836553,0.029233602,0.029233602,0.034095674,0.024014055,0.018888934,0.015449549,0.041601676,0.016557783,0.019705783,0.203817535,0.044950036,0.117603258,0.164018012,0.04756401,0.030086607,0.108456719,0.049445378,0.014890947,0.067945563,0.061287353,0.053867522
ISIC 05,0.009887519,1.136951622,0.023045274,0.029789096,0.027555832,0.030862926,0.024326932,0.041471497,0.038492758,0.046622671,0.038559705,0.038559705,0.038559705,0.06886244,0.037743375,0.049308647,0.049308647,0.067169575,0.03103943,0.044843761,0.058543891,0.021373116,0.021373116,0.026527969,0.21930639,0.243324433,0.010608019,0.039073193,0.004636568,0.01607738,0.015754912,0.01433569,0.012224033,0.010341481,0.009001822,0.006304077,0.01739546,0.007852635,0.004802065,0.025293928,0.012624737,0.017609435
ISIC 06,0.015375799,0.032287159,1.110163655,0.033704245,0.036982617,0.021391985,0.034006422,0.038485169,0.04693414,0.430511909,0.088122339,0.088122339,0.088122339,0.059900538,0.037649814,0.050849266,0.050849266,0.044010847,0.035228187,0.039322685,0.033804213,0.019186177,0.019186177,0.021711243,0.018286688,0.049207087,0.00918898,0.038604069,0.00767224,0.041242405,0.012450902,0.016558642,0.019191609,0.014047339,0.011642588,0.007130015,0.022727166,0.009515043,0.006797563,0.055585816,0.013912669,0.02409152
ISIC 07T08,0.009006827,0.027562618,0.020111999,1.37031624,0.240095829,0.011938523,0.015478916,0.052371036,0.050728539,0.015496879,0.025710638,0.025710638,0.025710638,0.084617141,0.109566485,0.384438625,0.384438625,0.138385937,0.073472617,0.140198339,0.169552494,0.040904128,0.040904128,0.043605322,0.021755331,0.009516073,0.005621709,0.105208469,0.005880873,0.010444257,0.008778038,0.025284986,0.012697763,0.009071157,0.009376597,0.005454242,0.023250789,0.007743388,0.004288094,0.017370241,0.014216946,0.027982557
ISIC 09,0.00063459,0.001623914,0.001306656,0.02831842,1.09545341,0.000911466,0.001217714,0.004543734,0.003120198,0.000926911,0.002749762,0.002749762,0.002749762,0.016447456,0.004429284,0.011932948,0.011932948,0.005012855,0.003821347,0.005894443,0.007946452,0.002281171,0.002281171,0.001629725,0.001156492,0.000546455,0.000445302,0.01502356,0.000313841,0.000590826,0.000573015,0.001349684,0.000684064,0.000608777,0.000563379,0.000320313,0.001217546,0.000439692,0.000271288,0.001776416,0.000838391,0.001526705
ISIC 10T12,0.157606899,0.060678413,0.058908755,0.047148571,0.046323696,2.085429376,0.108183744,0.105305002,0.103970471,0.037822766,0.154374132,0.154374132,0.154374132,0.053842179,0.063046177,0.084044469,0.084044469,0.071572314,0.068850474,0.061612254,0.059880737,0.037619812,0.037619812,0.033052813,0.031869117,0.027926278,0.021681688,0.058213845,0.023400524,0.02950293,0.542488749,0.075435303,0.1001775,0.083119017,0.07972969,0.040653612,0.061443893,0.035595438,0.018236697,0.099137113,0.150668545,0.07774484
ISIC 13T15,0.02611182,0.090448215,0.059408574,0.075977899,0.109721331,0.043148207,2.830597603,0.174291503,0.241164748,0.038123223,0.097492862,0.097492862,0.097492862,0.073142208,0.17645847,0.054767418,0.054767418,0.270554886,0.069193433,0.067473144,0.066890358,0.063635582,0.063635582,0.199876796,0.037670835,0.031633007,0.017197048,0.074462639,0.016475561,0.029944938,0.040390209,0.043671658,0.081060831,0.042988862,0.055949646,0.035983205,0.055342663,0.024518174,0.018097118,0.064434383,0.064641164,0.076891639
ISIC 16,0.008799771,0.018488346,0.010462322,0.018512241,0.02163154,0.018308048,0.01820754,1.926942675,0.194770388,0.008742308,0.023284278,0.023284278,0.023284278,0.030749437,0.034385166,0.014349543,0.014349543,0.025666527,0.022211321,0.036855685,0.017010908,0.021821338,0.021821338,0.011555613,0.010296596,0.008069711,0.005290713,0.077370853,0.006300269,0.011408707,0.027656101,0.019210117,0.022151564,0.026699686,0.03075628,0.013942023,0.017030201,0.025192574,0.013924109,0.017293618,0.043646718,0.101379188
ISIC 17T18,0.03361657,0.074739439,0.040115397,0.071867324,0.090110755,0.092077488,0.09058827,0.108968378,1.653336521,0.034371042,0.082794004,0.082794004,0.082794004,0.066837377,0.143131978,0.057734623,0.057734623,0.071790452,0.079361653,0.096371294,0.065010867,0.117654956,0.117654956,0.054260679,0.040634254,0.03707614,0.021680236,0.063714167,0.030583123,0.059604421,0.061645015,0.079863977,0.10106653,0.096345916,0.200221684,0.093194328,0.077764412,0.048470084,0.052953849,0.057568042,0.328443974,0.084749603
ISIC 19,0.064052298,0.140345306,0.157872241,0.14824614,0.161042911,0.067361115,0.135569736,0.160695554,0.189321062,2.311187273,0.367951064,0.367951064,0.367951064,0.213398972,0.138500444,0.223310348,0.223310348,0.146504337,0.146443283,0.168260041,0.135430444,0.08012965,0.08012965,0.089121334,0.068277539,0.050699664,0.040424076,0.156396272,0.03661742,0.209485478,0.047443293,0.071210367,0.089653624,0.062073123,0.05096936,0.031729322,0.097088859,0.042191262,0.031562528,0.231972337,0.057008681,0.105207895
